1,noreply@cinco.com.au,SYSTEM,411223344,1970-01-01T00:00:00,FALSE
4000,hstyles@cinco.com.au,Harry Styles,412345678,2023-09-25T11:59:59,FALSE
4001,nhoran@cinco.com.au,Niall Horan,487654321,2023-09-25T11:59:59,FALSE
4002,lpayne@cinco.com.au,Liam Payne,456784321,2023-09-25T11:59:59,FALSE
4003,ltomlinson@cinco.com.au,Louis Tomlinson,44321561,2023-09-25T11:59:59,FALSE
4004,zmalik@cinco.com.au,Zayn Malik,422446688,2023-09-25T11:59:59,FALSE
4005,jake.m.kent@gmail.com,Jake Kent,412356748,2023-09-28T01:02:59.378626197,FALSE
4006,josh.telf@gmail.com,joshua,478617891,2023-10-06T16:53:17.110358,FALSE
4007,jake@home.com,jake home,412345678,2023-10-18T23:33:29.547773,false
4008,admin@home.com,john smith,123456789,2023-10-22T00:31:17.919095,false
